Frequency,Monetary,Discount_impact,Years_active,Avg_quater,Avg_month,Recency,Customer_tenure,AOV,Churn_indicator,CLV,Gender_Female,Gender_Male,Cluster,Customer_id,Transaction_date,Product_category,City,Country,Rating,Age,Gender,Group,Stimulated_Frequency,Stimulated_Monetary
0.33333333333333337,0.4348632579619458,0.25743229557198305,3,0.5555555555555556,0.4545454545454545,0.06058346537421938,0.9006944444444445,0.7570779314944432,1,0.5369786203996202,1,0,0,101,2020-04-08,Tools,Berlin,Germany,4,58,Female,Control,0.33333333333333337,0.4348632579619458
0.33333333333333337,0.4348632579619458,0.25743229557198305,3,0.5555555555555556,0.4545454545454545,0.06058346537421938,0.9006944444444445,0.7570779314944432,1,0.5369786203996202,1,0,0,101,2023-10-27,Sports,Berlin,Germany,1,58,Female,Treatment,0.4,0.5000927466562376
0.33333333333333337,0.4348632579619458,0.25743229557198305,3,0.5555555555555556,0.4545454545454545,0.06058346537421938,0.9006944444444445,0.7570779314944432,1,0.5369786203996202,1,0,0,101,2022-04-29,Games,Berlin,Germany,1,58,Female,Treatment,0.4,0.5000927466562376
0.0,0.06995781190313835,0.08328950685008484,1,0.0,0.09090909090909091,1.0,0.0,0.5673971446555065,1,0.0,1,0,4,102,2020-02-05,Beauty,Los Angeles,United States,4,74,Female,Treatment,0.0,0.08045148368860909
0.9999999999999999,1.0,0.6701837057990592,4,0.5833333333333333,0.5909090909090909,0.04287445241867832,0.8895833333333334,0.6779110949693566,1,0.9999999999999999,0,1,7,104,2022-06-11,Garden,Berlin,Germany,1,62,Male,Control,0.9999999999999999,1.0
0.9999999999999999,1.0,0.6701837057990592,4,0.5833333333333333,0.5909090909090909,0.04287445241867832,0.8895833333333334,0.6779110949693566,1,0.9999999999999999,0,1,7,104,2023-05-13,Games,Berlin,Germany,5,62,Male,Control,0.9999999999999999,1.0
0.9999999999999999,1.0,0.6701837057990592,4,0.5833333333333333,0.5909090909090909,0.04287445241867832,0.8895833333333334,0.6779110949693566,1,0.9999999999999999,0,1,7,104,2021-11-13,Industrial,Berlin,Germany,4,62,Male,Control,0.9999999999999999,1.0
0.9999999999999999,1.0,0.6701837057990592,4,0.5833333333333333,0.5909090909090909,0.04287445241867832,0.8895833333333334,0.6779110949693566,1,0.9999999999999999,0,1,7,104,2020-05-13,Garden,Berlin,Germany,3,62,Male,Treatment,1.1999999999999997,1.15
0.9999999999999999,1.0,0.6701837057990592,4,0.5833333333333333,0.5909090909090909,0.04287445241867832,0.8895833333333334,0.6779110949693566,1,0.9999999999999999,0,1,7,104,2021-12-07,Outdoors,Berlin,Germany,1,62,Male,Treatment,1.1999999999999997,1.15
0.9999999999999999,1.0,0.6701837057990592,4,0.5833333333333333,0.5909090909090909,0.04287445241867832,0.8895833333333334,0.6779110949693566,1,0.9999999999999999,0,1,7,104,2023-03-01,Kids,Berlin,Germany,5,62,Male,Treatment,1.1999999999999997,1.15
